year,start_date,end_date,field_reference_file,source_file
2010,2009-07-01,2010-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2010/Raw/education_entities_2010.csv
2011,2010-07-01,2011-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2011/Raw/education_entities_2011.csv
2012,2011-07-01,2012-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2012/Raw/education_entities_2012.csv
2013,2012-07-01,2013-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2013/Raw/education_entities_2013.csv
2014,2013-07-01,2014-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2014/Raw/education_entities_2014.csv
2015,2014-07-01,2015-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2015/Raw/education_entities_2015.csv
2016,2015-07-01,2016-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2016/Raw/eem_2016.csv
2017,2016-07-01,2017-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2017/Raw/eem_2017.csv
2018,2017-07-01,2018-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2018/Raw/eem_2018.csv
2019,2018-07-01,2019-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2019/Raw/eem_2019.csv
2020,2019-07-01,2020-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2020/Raw/eem_2020.csv
2021,2020-07-01,2021-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2021/Raw/eem_2021.csv
2022,2021-07-01,2022-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2022/Raw/eem_2022.csv
2023,2022-07-01,2023-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2023/Raw/eem_2023.csv
2024,2023-07-01,2024-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2024/Raw/eem_2024.csv
2025,2024-07-01,2025-06-30,field_reference_2010_2025.json,/home/mistress/vault/DATA/Education/Education entities/Data/2025/Raw/eem_2025.csv
